rgi_id,glims_id,cenlon,cenlat,glac_name,Name1,Local_script1,Language1,Meaning1,Source1,Contributor
RGI2000-v7.0-G-14-00163,G069908E35764N,69.9083808,35.7641575,,,,,,,
RGI2000-v7.0-G-14-00164,G069916E35759N,69.91602793,35.758611,,,,,,,
RGI2000-v7.0-G-14-00165,G069918E35749N,69.91785081,35.7489615,,,,,,,
RGI2000-v7.0-G-14-00166,G069931E35758N,69.93052415,35.7584225,,,,,,,
RGI2000-v7.0-G-14-00167,G069938E35759N,69.93800332,35.758831,,,,,,,
RGI2000-v7.0-G-14-00168,G069940E35783N,69.94082795,35.7831115,,,,,,,
RGI2000-v7.0-G-14-00169,G069951E35782N,69.95111529,35.7822905,,,,,,,
RGI2000-v7.0-G-14-00170,G069954E35783N,69.95384986,35.783023,,,,,,,
RGI2000-v7.0-G-14-00171,G069957E35779N,69.9561691,35.778489,,,,,,,
RGI2000-v7.0-G-14-00172,G069951E35789N,69.9511456,35.789174,,,,,,,
RGI2000-v7.0-G-14-00173,G069961E35809N,69.96149353,35.808547,,,,,,,
RGI2000-v7.0-G-14-00174,G069966E35811N,69.96615721,35.8106005,,,,,,,
RGI2000-v7.0-G-14-00175,G069977E35810N,69.97750147,35.810288,,,,,,,
RGI2000-v7.0-G-14-00176,G069972E35819N,69.97240964,35.818457,,,,,,,
RGI2000-v7.0-G-14-00177,G069959E35829N,69.95865041,35.8281885,,,,,,,
RGI2000-v7.0-G-14-00178,G069950E35826N,69.9497408,35.8264695,,,,,,,
RGI2000-v7.0-G-14-00179,G069953E35819N,69.9527041,35.8194965,,,,,,,
RGI2000-v7.0-G-14-00180,G069958E35838N,69.95780162,35.837714,,,,,,,
RGI2000-v7.0-G-14-00181,G069958E35843N,69.95728617,35.842161,,,,,,,
RGI2000-v7.0-G-14-00182,G069958E35850N,69.95875723,35.85074,,,,,,,
RGI2000-v7.0-G-14-00183,G069945E35839N,69.94521931,35.8393095,,,,,,,
RGI2000-v7.0-G-14-00184,G069905E35826N,69.90523941,35.826097,,,,,,,
RGI2000-v7.0-G-14-00185,G069901E35821N,69.90066199,35.821375,,,,,,,
RGI2000-v7.0-G-14-00186,G069896E35820N,69.89579429,35.8200895,,,,,,,
RGI2000-v7.0-G-14-00187,G069893E35819N,69.89293468,35.818653,,,,,,,
RGI2000-v7.0-G-14-00188,G069911E35804N,69.91074263,35.8041975,,,,,,,
RGI2000-v7.0-G-14-00189,G069899E35842N,69.89945387,35.842111,,,,,,,
RGI2000-v7.0-G-14-00190,G069956E35879N,69.95624041,35.8791985,,,,,,,
RGI2000-v7.0-G-14-00191,G069963E35879N,69.96364659,35.879645,,,,,,,
RGI2000-v7.0-G-14-00192,G069969E35878N,69.9689367,35.877555,,,,,,,
RGI2000-v7.0-G-14-00193,G069975E35873N,69.97540876,35.872753,,,,,,,
RGI2000-v7.0-G-14-00194,G069979E35891N,69.97894531,35.8918365,,,,,,,
RGI2000-v7.0-G-14-00195,G069972E35893N,69.97258634,35.893215,,,,,,,
